date,cs_pace_med,cs_pace_lo50,cs_pace_hi50,cs_pace_lo95,cs_pace_hi95,cs_mps_med,cs_pace_trend_med,cs_pace_trend_lo95,cs_pace_trend_hi95,dp_med,dp_lo50,dp_hi50,dp_lo95,dp_hi95
2018-02-03,5.568060147482092,5.515022210540853,5.621544646924142,5.420700349576827,5.733707650580346,4.817189342351572,5.4490758409995586,5.201334522585236,5.7221679925689015,168.72930553530853,160.517563301118,178.5476872901854,140.89422285090228,218.51528169428414
2018-02-10,5.5702916967805365,5.518013457971081,5.623747495792306,5.423493738760835,5.733798727461157,4.8152594980959655,5.449019788638452,5.202019947151622,5.723371062410428,168.61771195863963,160.46879652389612,178.3661972162115,140.94381646393043,219.17397852465592
2018-02-17,5.572893597501671,5.520183879649542,5.625162835954249,5.426490380530155,5.734623491367471,4.813011325401023,5.448840846947144,5.20197800268107,5.724203890270174,168.49470776749845,160.38583565015807,178.35761742814356,140.67461224967883,218.99999828210736
2018-02-24,5.573859491534705,5.522371822289699,5.625437851475628,5.429432374056754,5.738125171709419,4.812177278757172,5.449432922085772,5.201300112860413,5.722669505668504,168.40761649426383,160.31017903671892,178.2881988951476,140.4255794106311,219.34434344276625
2018-03-03,5.5746114272307015,5.52423890450737,5.6258718390677425,5.430464678871743,5.737430791973305,4.81152818454454,5.449461631429254,5.200863005692568,5.720706081789006,168.34091252163773,160.3210550996962,178.2967889233186,140.1736994460907,219.5226213352435
2018-03-10,5.575396992586823,5.525812166628617,5.625992902165947,5.434013072865976,5.7349736906837,4.810850247593883,5.449620662830451,5.199832854253133,5.723359228876679,168.3741045541207,160.37227862248668,178.16205322341614,140.5203454173518,219.44617823404286
2018-03-17,5.576907081815459,5.5269471034031055,5.625870083424113,5.435411367055198,5.732010327516766,4.809547588025602,5.4498599482928265,5.1993620087099295,5.721518401934312,168.36938631879002,160.22608271362319,178.11560223336113,140.49401508941847,219.9203982844149
2018-03-24,5.5769887026069895,5.5276058021426255,5.62561407116825,5.4379575987507005,5.730056386823916,4.8094771983153155,5.449537984712615,5.1997153282180735,5.719133457983,168.38217610663725,160.1615807752646,178.0149571032607,140.31894711173834,219.9631017482595
2018-03-31,5.576554552791458,5.5284206056136185,5.625250971825271,5.439474927998879,5.728182206726908,4.809851629009041,5.44939052283261,5.199139282640472,5.719065583016129,168.32220025755316,160.12123093143228,178.1410662823044,140.13593578050939,219.6320850997263
2018-04-07,5.5763878479878155,5.528903511176381,5.6247225978293045,5.4423776999934015,5.72557305027782,4.809995418429544,5.449924578382829,5.199706830431607,5.718455639938322,168.3354495648392,160.02843850468363,178.06339386187375,139.95720387194774,219.31269135085117
2018-04-14,5.576201970858865,5.530224136228274,5.622904731935135,5.4453339765917255,5.7229779729175485,4.810155755109072,5.449815868242057,5.200773894672291,5.7174671104991495,168.34176262957936,160.01432029550688,178.0543019298988,139.9142999611356,218.8009979479525
2018-04-21,5.575807934858496,5.531066675883007,5.622698688436501,5.446654987888947,5.720090012049229,4.8104956830334915,5.449737048401518,5.200461561002372,5.715697562685171,168.31486988308166,159.88269509127286,178.0402903775664,139.90167443875487,218.15886554221487
